Body 151: m=1.214000e+09  x=0.330139 y=6.767168 z=-11.892726  vx=0.481370 vy=-1.608896 vz=-0.329130
Body 152: m=1.070000e+09  x=1.172778 y=1.618645 z=-5.842344  vx=-1.464995 vy=1.008882 vz=-1.075961
Body 153: m=1.087000e+09  x=4.728509 y=2.397355 z=-12.946495  vx=-0.697572 vy=0.933529 vz=0.196948
Body 154: m=1.567000e+09  x=41.232436 y=-39.127547 z=-43.501435  vx=0.475229 vy=-0.435651 vz=-0.542855
Body 155: m=1.178000e+09  x=-0.477676 y=8.017927 z=-8.833982  vx=0.015097 vy=0.061762 vz=-0.645389
Body 156: m=1.351000e+09  x=0.848101 y=6.298748 z=-6.446172  vx=-1.311359 vy=-0.213227 vz=-0.604763
Body 157: m=1.400000e+09  x=-0.924108 y=9.327629 z=-11.183504  vx=-1.308338 vy=0.828871 vz=-1.249827
Body 158: m=1.499000e+09  x=-871.017033 y=466.129508 z=-254.386096  vx=-17.453495 vy=9.338242 vz=-5.100281
Body 159: m=1.992000e+09  x=-6.541076 y=-5.452683 z=-13.527924  vx=-0.570348 vy=-1.359773 vz=-0.738156
Body 160: m=1.460000e+09  x=-348.798457 y=-53.946779 z=333.951881  vx=-6.957242 vy=-1.083572 vz=6.653735
Body 161: m=1.892000e+09  x=201.352824 y=-112.354737 z=468.342889  vx=4.017678 vy=-2.236852 vz=9.340584
Body 162: m=1.067000e+09  x=-12.409848 y=37.722381 z=-11.375778  vx=0.054692 vy=-0.289413 vz=-0.110156
Body 163: m=1.863000e+09  x=984.095505 y=-907.618362 z=89.400526  vx=19.675872 vy=-18.142871 vz=1.776399
Body 164: m=1.847000e+09  x=102.121424 y=111.313801 z=102.709946  vx=1.912527 vy=2.097632 vz=1.909002
Body 165: m=1.754000e+09  x=153.180941 y=-1796.070743 z=-355.574870  vx=3.351765 vy=-39.212185 vz=-7.751628
Body 166: m=1.565000e+09  x=-502.245997 y=-170.665231 z=314.289661  vx=-10.048464 vy=-3.436550 vz=6.280759
Body 167: m=1.254000e+09  x=-437.081866 y=-405.060473 z=-359.792417  vx=-8.739884 vy=-8.094741 vz=-7.198788
Body 168: m=1.006000e+09  x=14.270778 y=-2.540043 z=-18.045602  vx=-0.217334 vy=0.379619 vz=-0.211153
Body 169: m=1.314000e+09  x=-2.814425 y=3.053994 z=-5.111884  vx=0.822141 vy=-1.388880 vz=-0.369399
Body 170: m=1.827000e+09  x=-2.610877 y=8.226351 z=-5.446288  vx=1.590508 vy=0.137862 vz=-0.402560
Body 171: m=1.358000e+09  x=-0.342830 y=3.721290 z=-10.752694  vx=-2.248475 vy=-0.408898 vz=-1.811204
Body 172: m=1.199000e+09  x=-2989.026327 y=3981.624079 z=-5695.619181  vx=-59.835377 vy=79.701062 vz=-113.994836
Body 173: m=1.915000e+09  x=-1.367672 y=4.176602 z=-18.667121  vx=0.275281 vy=0.343259 vz=-0.401523
Body 174: m=1.646000e+09  x=85.053017 y=-70.998718 z=-216.169684  vx=1.659092 vy=-1.396337 vz=-4.169604
Body 175: m=1.301000e+09  x=-106.389969 y=-286.783926 z=232.619301  vx=-1.499946 vy=-5.631959 vz=4.708631
Body 176: m=1.911000e+09  x=-1.530773 y=-52.586775 z=-63.949667  vx=-0.097832 vy=-0.765405 vz=-0.954333
Body 177: m=1.844000e+09  x=-1.488293 y=10.040748 z=-7.256597  vx=1.535808 vy=-2.103497 vz=-0.568730
Body 178: m=1.320000e+09  x=-144.997203 y=-70.317162 z=-68.445407  vx=-3.014625 vy=-1.494391 vz=-1.426322
Body 179: m=1.819000e+09  x=-1820.168226 y=451.651128 z=401.868895  vx=-36.522618 vy=9.062440 vz=8.062425
Body 180: m=1.273000e+09  x=-546.525161 y=-2121.988432 z=323.424622  vx=-10.938327 vy=-42.477169 vz=6.486644
Body 181: m=1.774000e+09  x=-470.397607 y=70.528319 z=-364.130986  vx=-9.395685 vy=1.409473 vz=-7.273547
Body 182: m=1.463000e+09  x=1.881090 y=8.358456 z=-10.121303  vx=0.275775 vy=-1.220889 vz=-0.196462
Body 183: m=1.537000e+09  x=68.771117 y=-66.634805 z=-78.242469  vx=2.974253 vy=-2.983287 vz=-3.088187
Body 184: m=1.926000e+09  x=-1.649255 y=6.476738 z=-8.990809  vx=-0.839451 vy=0.981468 vz=2.179201
Body 185: m=1.659000e+09  x=-1.351747 y=4.601439 z=-8.221693  vx=-0.277928 vy=1.098947 vz=1.179142
Body 186: m=1.978000e+09  x=-1.994680 y=6.951533 z=-4.782554  vx=-0.184588 vy=-0.596088 vz=-2.716833
Body 187: m=1.832000e+09  x=-38.517890 y=-260.002882 z=-136.012907  vx=-0.722429 vy=-5.088886 vz=-2.669046
Body 188: m=1.339000e+09  x=38.921845 y=-82.439036 z=40.143676  vx=0.512745 vy=-1.816245 vz=0.382541
Body 189: m=1.430000e+09  x=77.011509 y=-120.558677 z=-113.224576  vx=1.502734 vy=-2.254627 vz=-2.103996
Body 190: m=1.489000e+09  x=0.422316 y=4.273288 z=-1.588300  vx=-0.173830 vy=0.697198 vz=-0.487972
Body 191: m=1.257000e+09  x=-5.861870 y=10.855416 z=-6.735877  vx=-0.375364 vy=0.248851 vz=-0.719327
Body 192: m=1.177000e+09  x=-7.056893 y=12.488444 z=-8.616294  vx=1.216160 vy=-0.907533 vz=-0.259528
Body 193: m=1.484000e+09  x=-230.541989 y=13.318235 z=-259.792803  vx=-6.064518 vy=0.310591 vz=-6.796734
Body 194: m=1.961000e+09  x=4.653922 y=7.211249 z=-7.911698  vx=-0.577750 vy=1.752776 vz=-0.569288
Body 195: m=1.182000e+09  x=-302.351639 y=181.389809 z=353.087490  vx=-6.026260 vy=3.614969 vz=7.031395
Body 196: m=1.272000e+09  x=444.634964 y=242.209481 z=456.377665  vx=8.893502 vy=4.845559 vz=9.126166
Body 197: m=1.269000e+09  x=24.629081 y=-300.795262 z=31.912761  vx=0.478671 vy=-5.902836 vz=0.624134
Body 198: m=1.491000e+09  x=-2.808025 y=7.537954 z=-7.847946  vx=0.295696 vy=-0.581589 vz=0.195817
Body 199: m=1.450000e+09  x=-11.227263 y=2.712253 z=-10.685163  vx=-0.511969 vy=-0.250997 vz=-0.994931
Body 200: m=1.464000e+09  x=0.005608 y=4.355546 z=-12.620581  vx=1.228075 vy=-1.080382 vz=-2.166652
Body 201: m=1.392000e+09  x=1023.206902 y=751.503351 z=-1135.121440  vx=20.526555 vy=15.077852 vz=-22.774696
Body 202: m=1.569000e+09  x=-50.274942 y=-76.057336 z=30.593076  vx=-0.822763 vy=-1.198478 vz=0.396177
Body 203: m=1.156000e+09  x=755.531650 y=-1116.714312 z=-1293.439785  vx=15.127640 vy=-22.373992 vz=-25.922184
Body 204: m=1.646000e+09  x=-44.064231 y=66.817095 z=50.532627  vx=-0.786233 vy=1.194329 vz=0.824708
Body 205: m=1.542000e+09  x=-2923.706921 y=152.956986 z=-605.263604  vx=-58.570135 vy=3.053578 vz=-12.127176
Body 206: m=1.448000e+09  x=3.934649 y=7.109311 z=-9.742041  vx=-0.079322 vy=1.449953 vz=0.295915
Body 207: m=1.832000e+09  x=-279.639367 y=-343.937141 z=333.072246  vx=-5.346597 vy=-6.522921 vz=6.199404
Body 208: m=1.413000e+09  x=9.271672 y=-1.094945 z=8.556120  vx=0.244677 vy=0.221261 vz=-0.390554
Body 209: m=1.380000e+09  x=-25.483444 y=3.741976 z=15.873533  vx=-0.629311 vy=0.187551 vz=0.351596
Body 210: m=1.440000e+09  x=2.410039 y=8.654455 z=-6.372823  vx=-0.587858 vy=-0.159371 vz=-2.365724
Body 211: m=1.054000e+09  x=-402.265378 y=-19.508181 z=-235.218945  vx=-8.005594 vy=-0.388421 vz=-4.684033
Body 212: m=1.993000e+09  x=39.280234 y=-105.392042 z=146.256951  vx=0.786874 vy=-2.258183 vz=3.098108
Body 213: m=1.406000e+09  x=-44.358880 y=16.438369 z=31.013557  vx=-1.198396 vy=0.391605 vz=0.800366
Body 214: m=1.270000e+09  x=-107.915340 y=337.749601 z=-347.675934  vx=-2.147304 vy=6.719479 vz=-6.921937
Body 215: m=1.583000e+09  x=-265.202554 y=-601.347553 z=421.211432  vx=-5.303586 vy=-12.033331 vz=8.430491
Body 216: m=1.084000e+09  x=64.347205 y=-33.295629 z=-11.290367  vx=2.885436 vy=-1.774465 vz=-0.305220
Body 217: m=1.059000e+09  x=334.154201 y=-473.684981 z=431.170922  vx=6.687674 vy=-9.478764 vz=8.627596
Body 218: m=1.322000e+09  x=-383.497609 y=97.252912 z=410.808873  vx=-7.655270 vy=1.946300 vz=8.199310
Body 219: m=1.847000e+09  x=569.945993 y=-3274.241820 z=344.249051  vx=11.388806 vy=-65.513944 vz=6.886822
